order_id,order_date,shipped_date,status,comments,customer_id
SCGJN3UOU3,2022-10-02,2022-10-15,shipped,Wonderful service and skis.  Milo went above and beyond to help us and we're so grateful.,HF6V28SD33
EJLTNUNSM4,2022-10-31,2022-10-23,shipped,Great selection on boards and gear! From Never Summer to Santa Cruz! The Creature boards are the most creative boards I have seen but for the price I...,TFDD6CMXHK
3GI4VIWC0R,2022-10-23,2022-11-08,shipped,,P3AI8086NI
R3UDVCME2F,2022-10-08,2022-10-09,shipped,,VPXFGV2ZQQ
NVSH3K0EAR,2022-10-12,2022-11-24,shipped,"Overall, my experience at Surefoot was good - the person who helped me out was attentive and knowledgeable, and my customizable boots have been a game...",JCG9AIOOJ3
KBOU18N1KZ,2022-10-25,2022-10-24,shipped,,I1Z7FB5JIA
KPWYIPGPUD,2022-10-26,2022-10-07,shipped,"One of the best shops in Denver. Nicest people, will fix a flat or help you out with a smile and right away if you come in with an emergency like a flat...",OOC15BIEPN
Q1EZWAU8WO,2022-10-04,2022-10-10,shipped,,GQLRM6NT3Y
4P2ZL1MV79,2022-10-12,2022-10-06,shipped,Overall had a great experience at Surefoot Denver! Jack was amazing and super knowledgeable! Staff answered all my questions and was really thorough in...,LSD5J1EL2V
LUZDDII1MD,2022-10-23,2022-11-23,shipped,"Absolutely stellar customer service. I got a new snowboard last season from their website, a Nitro. Rode it 4x before I noticed there were some raised bumps...",19VKIKW6BL
A0ODET4EEE,2022-10-31,2022-11-12,shipped,Came in for snowboard rentals for the next day. Jordan assisted me and was so patient and pleasant during the whole process. I needed to try multiple boots...,0XSIP035ED
FLX7CUQUXD,2022-10-16,2022-10-30,shipped,,H15MKUR37L
WJAQDUD7X0,2022-10-04,2022-10-08,shipped,,KX0AG9WGH2
64OAIO68HH,2022-10-31,2022-11-09,shipped,,FKDRUW596H
GWYVYW4LTG,2022-10-30,2022-11-04,shipped,Great selection on boards and gear! From Never Summer to Santa Cruz! The Creature boards are the most creative boards I have seen but for the price I...,S9G4QGQG3Y
8OE7J6RRVE,2022-10-17,2022-11-25,shipped,"Timur runs the best shop around. He knows what he's doing, has the best equipment for the job and he backs his work up. If you're not happy with the tune,...",Q3EHI6QQLL
71LNPN1D4R,2022-10-23,2022-10-20,shipped,"I will admit, this place has some pretty cool gear. We were faithful to this place. The last couple times we've been in there all the employees have had...",CAKNOCMIKF
BUF1GXQIDO,2022-10-25,2022-11-22,shipped,,XRSIDTQY2N
F3CPXMW7NK,2022-10-16,2022-10-10,shipped,,GLHCG325FM
Z0W5U42KF9,2022-10-04,2022-10-26,shipped,"Friendly, knowledgeable, wonderful customer service.

After the sad realization that I had somehow lost the entire toe strap on one of my snowboard bindings...",DLHSZGPX54
IZ8PWBGQ4E,2022-10-20,2022-11-26,shipped,"I would recommend Confluence, without reservation,  to anyone looking for quality paddling or ski equipment. They stock an amazing amount of inventory, and...",39J677COIK
8MYLW0UEFF,2022-10-03,2022-11-21,shipped,"Today I had a turn-around experience! We had appointments to get skis and boots for my three kids, but the first employee must have been a new-hire because...",DRL3I82HPU
FY2VGL2DOW,2022-10-26,2022-10-06,shipped,reviews,98ISEDXVV7
YLD9MGTNLV,2022-10-05,2022-11-25,shipped,Very nice and attentive staff. I went in to get a pedal taken off and they helped with no problems.,XL2XED2YVI
ZVKJB09PXB,2022-10-24,2022-10-02,shipped,Great staff and skis.  I don't know a lot about ski construction or terminology but after I explained how I ski and what I wanted to do they were able to...,5UJQSMH9ZK
69LKSJV4DN,2022-10-09,2022-11-22,shipped,"Great selection of skate, surf, and snow gear. Very knowledgeable staff was helpful with me selecting my new surfskate. Wouldn't hesitate to purchase...",RAUU1EQ6DE
MWE7EQ0PWV,2022-10-04,2022-11-10,shipped,T is a true craftsman and goes out of his way to get your equipment spot on and ready for the mountains,HBC35SDTHI
VON40318WO,2022-10-07,2022-11-19,shipped,"Mike is our local bike doctor. His attention to detail, honesty, and customer service will have us returning time and time again!! Thanks so much for taking...",TOKFDZ3SXM
AH9M54PD9F,2022-10-07,2022-10-12,shipped,I stopped by today for a new bike helmet. I passed a couple employees and saw several standing around while I browsed and tried on different helmets. After...,KCW8KUQ742
J8WDA7BCVP,2022-10-18,2022-10-03,shipped,"Very knowledgeable and friendly staff. I am buying an ebike from them (Tern HSD). 
Parking is a little struggle but side streets work out.",98ISEDXVV7
3RFNFNC6I4,2022-10-22,2022-10-18,shipped,Outdoor sports are big business in Colorado and Epic Mountain Gear is here to fill that need. Whether it be summer or winter I come EMG. In the summer I...,4Z74NNU02A
1Q1OC41YJU,2022-10-09,2022-11-05,shipped,T is a true craftsman and goes out of his way to get your equipment spot on and ready for the mountains,OJVBYXRRGO
9B8S38CWVI,2022-10-24,2022-11-18,shipped,,IA8FM778LA
RLTMM66FDI,2022-10-23,2022-11-25,shipped,I've rented from here three times and I'm pretty surprised to see such low ratings. I've always had a good experience here and found the staff to be well...,Y4X9HG53NF
902U1JSDZX,2022-10-24,2022-11-07,shipped,,LDL47MH5D5
YQLWJGVSYK,2022-10-11,2022-11-29,shipped,"Friendly, knowledgeable, wonderful customer service.

After the sad realization that I had somehow lost the entire toe strap on one of my snowboard bindings...",QS265P8HM6
OYGFT6YB33,2022-10-14,2022-11-20,shipped,I cannot believe how poor the customer service has become here. I have enjoyed many purchases over the years and have always had a pleasant experience. This...,I9REV1RUV0
IR8N2HIH0B,2022-10-02,2022-10-11,shipped,,M4IC2OWMQP
IF16TJ2T8E,2022-10-23,2022-10-23,shipped,reviews,7JTE1ZGDRY
TOIDS79TFC,2022-10-28,2022-10-21,shipped,"We've been to Crystal Ski Shop a handful of times and they have always provided good service. 

One time in particular we had an issue with a certain part...",87NMX7OOI5
HZJNBX1F6M,2022-10-20,2022-11-12,shipped,They were gatekeeping assholes. I'm not a regular skier and came in asking for advice. They told me they weren't keen on doing me any favors and kicked me...,IYPT2KT2XB
C6QUJVMJ26,2022-10-14,2022-11-26,shipped,,SOAD01CNSA
SKFK7T2JRY,2022-10-18,2022-11-08,shipped,"Nick was phenomenal! Extremely friendly, knowledgeable, and most importantly, patient. Rookie bike purchasers, but Nick answered any and all questions for...",BZVKNAN4GC
KTF3TPNT0L,2022-10-19,2022-11-10,shipped,,3TYYF5MFZH
FOQHZS69AM,2022-10-17,2022-11-08,shipped,We have seen Apex Ski Boots in different magazines and decided to visit their demo center because our original flight out of Eagle got cancelled and had to...,QC1H2VQMY5
1NNEURAQBN,2022-10-13,2022-11-01,shipped,,3JOEXAB9E8
GDXNXKGNNE,2022-10-03,2022-10-28,shipped,"I recently got a board wax and my edges sharpened at Denver Bike and Ski Repair. My experience and the customer service was pleasant, and I got some good...",8CE5OXFFFF
BJFKMOUYGQ,2022-10-01,2022-10-16,shipped,We had a terrific experience! Susie helped us select a great ski jacket for my boyfriend. I have been skiing for years but have never encountered a sales...,1U8Q97OEX8
XOKUJ7WOES,2022-10-17,2022-11-15,shipped,I cannot believe how poor the customer service has become here. I have enjoyed many purchases over the years and have always had a pleasant experience. This...,1N737GN598
I626HU6IYX,2022-10-17,2022-10-23,shipped,,MFUJ6DBMZK
ERKI4HCUWS,2022-10-02,2022-11-29,shipped,,SCXHVIBQ2T
9PNR3FH37G,2022-10-23,2022-10-25,shipped,,CAKNOCMIKF
6ABSMPE66C,2022-10-17,2022-10-12,shipped,Great staff and skis.  I don't know a lot about ski construction or terminology but after I explained how I ski and what I wanted to do they were able to...,GAXXR7QI1V
671K3QGB1G,2022-10-11,2022-11-08,shipped,,30X4VY8SEE
YKP4IOQJJV,2022-10-31,2022-10-08,shipped,"Best ski shop in the front range!
Been going here for years. Just bought new ski boots after a thorough and professional fitting by Quinn. The guy knows his...",RWX2C9S1BO
F5YE2AIMME,2022-10-28,2022-11-29,shipped,"This is the best ski shop in Colorado- you guys rock; helpful, knowledgeable employees. Just off I 70 on the way to the mountains, so also very conveniently...",3GG2U3JRJY
QXO15QCU5Z,2022-10-29,2022-11-22,shipped,"I couldn't be happier with my purchase from Powder7. Great prices, amazing communication, plus their YouTube videos really are helpful. Will definitely buy...",LDL47MH5D5
9LCIB57GA6,2022-10-06,2022-11-10,shipped,Great selection on boards and gear! From Never Summer to Santa Cruz! The Creature boards are the most creative boards I have seen but for the price I...,0AC1GPGLZL
ZAD2MVVQVX,2022-10-24,2022-10-05,shipped,"Took awhile to get to us despite a reservation, but when they did things went smoothly. Rental clothes weren't washed and smelled of mildew! The gloves were...",YS29F765SC
C1XUWN4QHS,2022-10-27,2022-11-12,shipped,My review for this place will be a mixed bag. I liked that they had what I needed but I had to search the whole store by myself to find it. I was not once...,VPXFGV2ZQQ
NVRQDJOSTO,2022-10-06,2022-11-25,shipped,,OOC15BIEPN
MNJFLQ0LSP,2022-10-10,2022-10-30,shipped,"Very impressed with evo Denver! There's street parking in front of the retail store and the rental store, in addition to a parking lot behind the store so...",FTVVTCRGZP
NIGYR8TKBP,2022-10-21,2022-11-04,shipped,I had family come into town wanting to rent skis. I recommend to my out of town family to come to our local neighborhood ski shop. We called a few days...,6XPRYDUFLB
QS065W1URW,2022-10-02,2022-11-02,shipped,Wonderful service and skis.  Milo went above and beyond to help us and we're so grateful.,KPLZRH5L6S
VKI6CR09W0,2022-10-07,2022-11-19,shipped,"Came in looking for a set of used irons, and left with the best customer service experience in recent memory. Just happened to be driving by and figured I'd...",A8195344SY
VG8EZW9WBW,2022-10-22,2022-11-01,shipped,"The guy that runs the shop is just awesome! Super chill, answers with patience all my questions, takes his time and does not push the sale! 

I will be back!",XZFOZVPB0D
CEJTMVWGVG,2022-10-19,2022-11-19,shipped,,ZEYO8JW6BI
HNCWSRC4JG,2022-10-10,2022-10-27,shipped,We have been using a local ski shop for years down county line road until we found this place.  Jerry helped my son buy boots and it was such an amazing...,C9UHYGMGX8
99GLSAQNE7,2022-10-29,2022-10-03,shipped,,8R4THKCB9W
2PWGH917NI,2022-10-21,2022-11-06,shipped,I ride mostly in Sugarbush resort. One of the perks that Ikon pass advertise is friends and family deal which they say you can get 25% off of the lift...,S0TMHP6FMI
WUZSDVAG8J,2022-10-30,2022-10-30,shipped,,FHY300P0OM
UJJH1VL5NX,2022-10-13,2022-11-05,shipped,"I'm finally able to ski!  A debilitating condition in my left foot has greatly limited a variety of athletic activities - skiing included. Recently, I had...",XL2XED2YVI
3FUI9RH6TJ,2022-10-26,2022-10-17,shipped,I cannot believe how poor the customer service has become here. I have enjoyed many purchases over the years and have always had a pleasant experience. This...,KJ5IUXZD9T
6NKU1W7F2S,2022-10-18,2022-10-26,shipped,"Overall, my experience at Surefoot was good - the person who helped me out was attentive and knowledgeable, and my customizable boots have been a game...",ZEYO8JW6BI
MUTU60PAHG,2022-10-19,2022-11-02,shipped,"Came in looking for a set of used irons, and left with the best customer service experience in recent memory. Just happened to be driving by and figured I'd...",39J677COIK
YW8NPD7ZA5,2022-10-09,2022-10-22,shipped,Above and beyond customer service in helping us get a product from another store sent to the boulder location. Shout out to Will. You're awesome!,1X4423D91Y
MB89MQICJ8,2022-10-30,2022-10-07,shipped,,CAKNOCMIKF
MSILTPB51T,2022-10-27,2022-11-24,shipped,"Very impressed with evo Denver! There's street parking in front of the retail store and the rental store, in addition to a parking lot behind the store so...",D3WEWOFNQG
QSM4AXJTCY,2022-10-08,2022-10-18,shipped,"Great little ski shop in Parker! I didn't even know it existed until a few days ago when I urgently needed to wax my skis, and everyone was taking at least...",NTH17K59IU
DH7U2J6N2E,2022-10-13,2022-10-08,shipped,Rory was great in fitting my new boots. Can't wait to try them out...Now we just need snow!,V8HXCDCQUM
423N0PGDQI,2022-10-12,2022-10-23,shipped,Came in with a flat and the Man inside was super chill and took the time out of his busy day to fix it up for me when he had a ton of work to do.  For sure...,L5DX3SETO8
XOMP22INHK,2022-10-17,2022-10-22,shipped,T is a true craftsman and goes out of his way to get your equipment spot on and ready for the mountains,H9GD7J0PW8
HQJ030DZ8L,2022-10-30,2022-10-31,shipped,"I don''t normally write reviews for anything besides restaurants but this place needed to be recognized!

To be short and sweet by far the best in all...",H6NCS5OQDY
RORXUWX4XV,2022-10-05,2022-10-16,shipped,"0 STARS!!!

The following turn of events took place over the course of about 1 year as a former loyal customer.

   I'm a lifelong athlete that never played...",PLI2MP2LCA
2IHKL140XR,2022-10-03,2022-10-04,shipped,"Fast easy and inexpensive rental experience with great service
Fourth rental from them. Wish they offered seasonal rentals later into the season 
Thanks!",M9BJA9VKFZ
OFTX9C6ENW,2022-10-19,2022-11-16,shipped,Brought my bike in to have a flat fixed and had my hub and horn destroyed at no extra charge.,MQGS43S9JA
9Z99S32P4O,2022-10-17,2022-11-23,shipped,"The guy that runs the shop is just awesome! Super chill, answers with patience all my questions, takes his time and does not push the sale! 

I will be back!",75KDXAVIX0
08CSFOFJ03,2022-10-15,2022-11-14,shipped,,JM4WZCGJ0R
WNE45TZOTS,2022-10-02,2022-11-22,shipped,,8SZ76JX178
MW6FSVZYSK,2022-10-20,2022-10-25,shipped,,RW4OBEDUJ7
PHBZSZZQYI,2022-10-12,2022-11-29,shipped,,IXXSVKB0SN
NSYY793CFR,2022-10-29,2022-10-18,shipped,,09DK890FQB
813NI4YDJ7,2022-10-18,2022-10-05,shipped,"Friendly, knowledgeable, wonderful customer service.

After the sad realization that I had somehow lost the entire toe strap on one of my snowboard bindings...",SRXZZLKVUX
DND1ZOYEWF,2022-10-22,2022-10-21,shipped,"Haven't shopped much, in person, during our lovely pandemic, but really enjoyed my trip to REI in Littleton.  Social distancing, monitoring the store's...",U7ZWBZQ07D
6OEN8DCZ6S,2022-10-09,2022-10-13,shipped,,H5XDYHUS8J
5XH6QEQFZD,2022-10-20,2022-11-29,shipped,Dropped in not long after a huge 40% off sale hoping that I wasn't too late. While the sale was definitely over (no clearance rack in sight - due to the...,X3LKVAH5BE
2Z0TAYXPJJ,2022-10-01,2022-10-19,shipped,Came in with a flat and the Man inside was super chill and took the time out of his busy day to fix it up for me when he had a ton of work to do.  For sure...,RWX2C9S1BO
X87Z6E59QC,2022-10-02,2022-11-21,shipped,,KUWVAN3C98
TJ36OV5EVA,2022-10-29,2022-11-22,shipped,Super nice  with a organic feel of a sk8 shop. Of course I had to stop in. I love the music ! Wall of vans on point !   Hip street with all kinds of amazing...,6JO34AILKU
CS0B9ZUCQ7,2022-10-21,2022-11-17,shipped,This was the best shopping experience I've had in a long time. Keenan was incredibly helpful and helped me through every piece of my setup. I'll be...,7K0DPQ9Z13
83UNN58EV0,2022-10-13,2022-11-24,shipped,"This is the best ski shop in Colorado- you guys rock; helpful, knowledgeable employees. Just off I 70 on the way to the mountains, so also very conveniently...",4Z74NNU02A
O6J7G65MJA,2022-10-25,2022-10-07,shipped,Cute workers and great service. I rented my ski boots and poles from here. Not too expensive,LREZ4WRBW8
0ZDC28YMNJ,2022-10-28,2022-10-31,shipped,,9FI0E7F47O
QP333P1HNI,2022-10-15,2022-11-13,shipped,They were gatekeeping assholes. I'm not a regular skier and came in asking for advice. They told me they weren't keen on doing me any favors and kicked me...,H05X8STE2N
DA71OUF9GD,2022-10-06,2022-10-25,shipped,This store is one of a few stores that carry stickers worth  buying. Been looking for Never Summer stickers and i finally found them here at BC Surf. Tom...,JXX23HAXEV
ZYU2N8P1RF,2022-10-08,2022-11-09,shipped,,UX5WP1T8IU
2CK0WKAVUK,2022-10-28,2022-10-20,shipped,Overall had a great experience at Surefoot Denver! Jack was amazing and super knowledgeable! Staff answered all my questions and was really thorough in...,KX0AG9WGH2
YYL91KVJEF,2022-10-07,2022-11-18,shipped,Cute workers and great service. I rented my ski boots and poles from here. Not too expensive,78HMR4JJJ3
XMYW9RALVG,2022-10-23,2022-10-07,shipped,,PDACDUW9R7
OTG9LVST9E,2022-10-31,2022-10-23,shipped,Great staff and skis.  I don't know a lot about ski construction or terminology but after I explained how I ski and what I wanted to do they were able to...,JZJHZBX9GD
40RNRMNH2K,2022-10-28,2022-11-20,shipped,,MFUJ6DBMZK
BKHYI5UF8B,2022-10-01,2022-10-05,shipped,"Top notch spot! Got some rental gear for a good price while I was visiting the area earlier in the year, recently visited again for help researching gravel...",SRXZZLKVUX
IXJ7C4PEU4,2022-10-30,2022-11-05,shipped,"Brandon and Sam delivered our patio furniture today!  They arrived not only with our chairs in perfect condition but with huge smiles, amazing attitudes and...",75EA0V96AL
ES9Q3L6UI1,2022-10-29,2022-11-08,shipped,Luke at the Arvada store is the only reason why my wife and I drive all the way to Arvada to buy our snowboard gear. He's extremely knowledgeable of the...,Q56XAPPETE
HFAA10O5E2,2022-10-31,2022-10-11,shipped,Three stars for providing me with very decent board shorts at the last minute and at the end of the season. With a large selection of sports clothing for...,V8HXCDCQUM
N9L9EVE4E5,2022-10-11,2022-10-07,shipped,"We've been to Crystal Ski Shop a handful of times and they have always provided good service. 

One time in particular we had an issue with a certain part...",EY1KWPBJ5A
292DBNRZR1,2022-10-19,2022-10-16,shipped,These guys went above and beyond to help me out with an avalanche pack canister. So grateful I decided to give them a call. Also the shop is super cool and...,SODQ4FF7YI
63UI2F29HG,2022-10-10,2022-11-24,shipped,,8XHRA8VY0K
DDXH88NR19,2022-10-22,2022-10-21,shipped,"Fast easy and inexpensive rental experience with great service
Fourth rental from them. Wish they offered seasonal rentals later into the season 
Thanks!",1NBU9K0ERN
XSVQDFZ8PQ,2022-10-30,2022-11-02,shipped,"Haven't shopped much, in person, during our lovely pandemic, but really enjoyed my trip to REI in Littleton.  Social distancing, monitoring the store's...",67L8M0RYDE
36MF401EZH,2022-10-19,2022-10-10,shipped,"Overall excellent work, fastest I've seen, and most reasonable prices.  I'm a back country/tree snowboarder so I regularly have core shots on my board, and...",MSX1977638
UW3UY960I2,2022-10-16,2022-11-22,shipped,This store is one of a few stores that carry stickers worth  buying. Been looking for Never Summer stickers and i finally found them here at BC Surf. Tom...,P8IACHEA70
CHIOB0XUOY,2022-10-27,2022-11-21,shipped,,MCCFPF9UVV
GV41EKM5IM,2022-10-16,2022-11-29,shipped,"Mike is our local bike doctor. His attention to detail, honesty, and customer service will have us returning time and time again!! Thanks so much for taking...",HBC35SDTHI
8XDMSCLYMB,2022-10-12,2022-11-12,shipped,"During the pandemic, the turn-around for a derailleur adjustment was two weeks at a competing dealer. SloHi Bikes City Park will typically call/text me...",XZFOZVPB0D
4DMB1GGXJQ,2022-10-05,2022-11-20,shipped,We have seen Apex Ski Boots in different magazines and decided to visit their demo center because our original flight out of Eagle got cancelled and had to...,1KRU5V3L54
2HWH75T3RU,2022-10-07,2022-11-07,shipped,"Loved seeing how my skis were made! And over a beer was a nice bonus. 
He folks here are super knowledgeable and friendly. I love my boards - BNKs kill it!",0XSIP035ED
5GX525CJIX,2022-10-18,2022-10-10,shipped,"I will admit, this place has some pretty cool gear. We were faithful to this place. The last couple times we've been in there all the employees have had...",6SM3DTRQIG
H328BR0PRE,2022-10-14,2022-11-26,shipped,"Overall, my experience at Surefoot was good - the person who helped me out was attentive and knowledgeable, and my customizable boots have been a game...",REIQPNGOB9
I18JZN18MK,2022-10-20,2022-11-04,shipped,"Great company making amazing products. My experience customizing a pair of skis was excellent, Folsom took all the relevant information about my ski style...",QXVO7SM5CQ
MYD3Z7M47A,2022-10-02,2022-10-15,shipped,These guys went above and beyond to help me out with an avalanche pack canister. So grateful I decided to give them a call. Also the shop is super cool and...,F7I9G9VBSZ
SGDR2DQ9FT,2022-10-17,2022-11-13,shipped,We had a factory tour with Laura today.  She was the most down to earth wonderful person ever!  She was full of product knowledge and really showed us how...,H7JAT64W55
FSX6EMCREN,2022-10-28,2022-10-06,shipped,"We've been to Crystal Ski Shop a handful of times and they have always provided good service. 

One time in particular we had an issue with a certain part...",Q4JI26YUEN
Y9M7L32A4R,2022-10-19,2022-11-05,shipped,,SOAD01CNSA
U615GUZU2D,2022-10-27,2022-10-12,shipped,"During the pandemic, the turn-around for a derailleur adjustment was two weeks at a competing dealer. SloHi Bikes City Park will typically call/text me...",PIZ0NXCQ9C
YM586NN1XI,2022-10-04,2022-10-26,shipped,I've been an Ikon pass holder since inception and took the option to defer last year during COVID. I got one email from Ikon in April saying my deferral...,4ACMEMAXYX
3KA5E6KZLI,2022-10-05,2022-11-05,shipped,Wow!! You guys did an amazing job on my skis. My skis have never been tuned so we'll!! Thank you!!!,UX5WP1T8IU
OL77LKR99G,2022-10-21,2022-10-12,shipped,"Terrific owner - Ashton, and awesome ski shop in Denver.  Our kids are ski racers and this place is more comprehensive ski race inventory than any online...",78HMR4JJJ3
8EAIE048KU,2022-10-14,2022-10-12,shipped,I'd give it zero stars if I could. Overpriced by at least 20% compared to places even up in silverthorne. Staff there are not willing to help and...,GZWCWEPGFP
H9DCQXJ3OP,2022-10-26,2022-10-28,shipped,"I couldn't be happier with my purchase from Powder7. Great prices, amazing communication, plus their YouTube videos really are helpful. Will definitely buy...",J8Y8WLRMRA
AIU96KK79R,2022-10-07,2022-10-24,shipped,"One of the best shops in Denver. Nicest people, will fix a flat or help you out with a smile and right away if you come in with an emergency like a flat...",XCVCPRMN0H
BEDUUQU4CV,2022-10-22,2022-11-17,shipped,,AO0YTU0GO3
0ZT3MX9VVG,2022-10-25,2022-10-16,shipped,Walked in to get my first pair of ski boots. Tyler was awesome - incredibly knowledgeable & helpful. Took all the time and care we needed in order to get...,9YNO1XLUA1
CYLXTW6ERK,2022-10-15,2022-11-28,shipped,,ZS1YPRTS6O
353J42A3BZ,2022-10-16,2022-10-12,shipped,Walked in to get my first pair of ski boots. Tyler was awesome - incredibly knowledgeable & helpful. Took all the time and care we needed in order to get...,1U8Q97OEX8
GG3WH52JFP,2022-10-07,2022-10-22,shipped,"I will admit, this place has some pretty cool gear. We were faithful to this place. The last couple times we've been in there all the employees have had...",R2E2N0B5GM
I2G6FKB1DU,2022-10-19,2022-11-25,shipped,"Really really good, thorough, ski boot fitting. Seriously way improved from REI or Epic. I am super happy with the skis and boots I bought here. Knocking...",5O4D7KZYOD
TOAY5G1UQN,2022-10-22,2022-11-15,shipped,We had a terrific experience! Susie helped us select a great ski jacket for my boyfriend. I have been skiing for years but have never encountered a sales...,F3R9ZVEWCR
F111GB3Y1I,2022-10-31,2022-10-24,shipped,,CFX172E55M
OYVAVPI75E,2022-10-21,2022-10-22,shipped,"I'm finally able to ski!  A debilitating condition in my left foot has greatly limited a variety of athletic activities - skiing included. Recently, I had...",LZGGQFF20O
SW0K33N8G8,2022-10-12,2022-11-27,shipped,Best shop with the best crew! Always welcoming and they actually use the gear they sell! (hard to find these days...) 20+ years of community involvement...,7CTPASJ3IZ
NGGQ82HC6X,2022-10-07,2022-11-13,shipped,Love the boots and with the combination of a NSP discount and the help of Eric I was able to get my boot sizing issues fixed.  The only minor issue I had...,UU9X79JZC0
3NN7HAH927,2022-10-24,2022-11-21,shipped,Outdoor sports are big business in Colorado and Epic Mountain Gear is here to fill that need. Whether it be summer or winter I come EMG. In the summer I...,LTZB12STFF
OUI7K8AITS,2022-10-14,2022-10-18,shipped,Rented skis for an out of town friend. Shop was very friendly and knowledgeable and priced great. Love that you have ample time to rent them before you ski...,X21FTWA4WP
EYJIMHLB7J,2022-10-02,2022-11-28,shipped,"During the pandemic, the turn-around for a derailleur adjustment was two weeks at a competing dealer. SloHi Bikes City Park will typically call/text me...",CXMWU4JPKK
K264UKF7K4,2022-10-24,2022-10-05,shipped,Rented skis for an out of town friend. Shop was very friendly and knowledgeable and priced great. Love that you have ample time to rent them before you ski...,PDJ9HN7IUF
IG64EFQ602,2022-10-11,2022-10-26,shipped,"Top notch spot! Got some rental gear for a good price while I was visiting the area earlier in the year, recently visited again for help researching gravel...",BV9YB1QQ22
P8CGJJR1XG,2022-10-22,2022-10-27,shipped,,R72JHQ0RCH
O5VITI0IQO,2022-10-20,2022-10-27,shipped,I've been an Ikon pass holder since inception and took the option to defer last year during COVID. I got one email from Ikon in April saying my deferral...,ULZXB6EYDA
T1ICHFSMK1,2022-10-03,2022-10-21,shipped,Cute workers and great service. I rented my ski boots and poles from here. Not too expensive,VB2Y4ZFHFU
9N4V78RKM4,2022-10-09,2022-11-18,shipped,,FT1CUFHUEP
X95M3VIDPD,2022-10-08,2022-11-11,shipped,"Overall, my experience at Surefoot was good - the person who helped me out was attentive and knowledgeable, and my customizable boots have been a game...",9IEA9YFSEI
LJHP75WDYZ,2022-10-02,2022-10-07,shipped,Great service and reasonable price. Dropped 2 pairs of skis off to get mounted 15 minutes before they closed on Monday. On Wednesday i got both skis...,JZJHZBX9GD
IUZZTNG6K6,2022-10-05,2022-11-29,shipped,"I recently lost the outer shells/chassis to my Apex boots and was stuck with no way to ski. I called Apex to see what my options were.

I was delighted...",NJZXJP7C38
CE9E2WRO3Q,2022-10-25,2022-11-20,shipped,Brought my bike in to have a flat fixed and had my hub and horn destroyed at no extra charge.,28UWLOQU4P
NHM0MFA4JS,2022-10-25,2022-11-29,shipped,Love the boots and with the combination of a NSP discount and the help of Eric I was able to get my boot sizing issues fixed.  The only minor issue I had...,6RH66T9V29
KJOF5RGNTB,2022-10-03,2022-10-09,shipped,"Super cool store with cool, friendly vibes. I first discovered this store when our son requested anything from here on his Christmas list. Easily done!...",SIY8ML9BLG
Y2PH5NER24,2022-10-30,2022-11-11,shipped,Meier Skis are second to none. My QuickDraws seem to almost ski themselves and are by far the most responsive skis I have ever ridden. There is nothing on...,PDJ9HN7IUF
GZH8VTJ7D2,2022-10-06,2022-11-07,shipped,I recommend reservation for equipment's ahead of time. Small hidden gem in Parker with good prices on rentals. Equipment are generally higher quality than...,135JGVFYXM
RYWXTYMHUH,2022-10-02,2022-10-22,shipped,Meier Skis are second to none. My QuickDraws seem to almost ski themselves and are by far the most responsive skis I have ever ridden. There is nothing on...,N334H530FL
JZZXWZW03X,2022-10-15,2022-11-16,shipped,Outdoor sports are big business in Colorado and Epic Mountain Gear is here to fill that need. Whether it be summer or winter I come EMG. In the summer I...,8R4THKCB9W
R4KCWPAIXH,2022-10-22,2022-10-12,shipped,Excellent customer service and the online order with store pick up couldn't be easier.  REI is a staple when it comes to Colorado outdoor stuff!!,PXWRG4ADJ6
C24A4S9XWT,2022-10-11,2022-11-29,shipped,We had a factory tour with Laura today.  She was the most down to earth wonderful person ever!  She was full of product knowledge and really showed us how...,79P97F1OJ6
E05FEWHL4R,2022-10-17,2022-11-16,shipped,Rented skis for an out of town friend. Shop was very friendly and knowledgeable and priced great. Love that you have ample time to rent them before you ski...,PJ8DGAKJFY
